,Comment,Author,Comment ID,Like Count,Reply Count
166,Who winning Prem tho?,£ngland G,UgxrRbIiwyzHSTpIWuR4AaABAg,0,0
167,Haaland gonna be like timo werner,Hazanie Dowe,Ugzn4bsMF-zsEjkFZTd4AaABAg,0,0
168,Nunez's Liverpool career is starting off with a great start,Candy Ambassador,UgxlF1CNARo_EfPBygJ4AaABAg,2,0
169,"man u/fa we’re not involved in yesterday’s showpiece,in fact that won’t be involved in Europe’s top tier competition,oh Happy Days are here again,snigger,snigger. 14>1 Amen.",zzzaaa0990,Ugxgjf8mbJfuIwOfkv54AaABAg,0,0
170,Haland sabote,Ayse Apaydincinar,UgyrJAN9YM9-GUm6USJ4AaABAg,0,0
171,"Season hasn't yet started and clowns 🤡 giving verdict on Haaland, Nunez etc. Wait till New year's and half the season, then you can comment.",GodplaysDice,Ugzj8luMSsyyLDg6SqR4AaABAg,0,0
172,In a side full of brilliance how can someone so average as Nathan Ake make the side so regularly?,Corrie De Beer,UgyZOJET2oKQziD4nQB4AaABAg,0,0
173,ฮาลั่น,Abdulmuhaimin abdulloh,UgyR4PXC3bebrJTgXrh4AaABAg,0,0
174,ROAD TO 2 MILLION VIEWS,Shawn -The- First.,UgyAnGqj8r93pKm0DpB4AaABAg,0,0
175,"Its new season new club let them give some chances 
Do  not judge nunez and Halland now",samarth,UgwufXuLfrUepxTFuEJ4AaABAg,0,0
176,Ruben dias was awful,4 Up,Ugz2P2KuUboVzRzC15p4AaABAg,0,0
177,💓🔥🎂🎯🎯🔥🎈🎉,Alex Cover,UgylcH9Bq6vElJuqY894AaABAg,0,0
178,the overhyped norwegian giant baby is about to find out that the PL is not the BL,arthurspooner,UgyCzY_ZfRzZqGahttd4AaABAg,0,0
179,Liverpool dominated,SpongeBob,UgzNdMjNd-18KHkXK554AaABAg,1,0
180,Trent switched off again on the opponent's goal.,Kim C,Ugx7bfVsWL278EXvyg14AaABAg,0,0
181,And spurs still no trophy 🤣,podl,Ugx009-SRIgxQ59cqFR4AaABAg,0,0
182,Adrian made great saves. He needs to work more on holding ball or keep it away to get rebound shots. 🙏🙏,Sharan,Ugz6_iBF10NCbOXCskV4AaABAg,7,2
183,Van Dijk has carried on with his ball watching into this new season. It has been like this since he returned from his injury.,Ojo Oluwatosin,UgwvFnS4fDNDx2zu5yl4AaABAg,0,0
184,YNWA MY LIVERPOOL FC 🥰🥰👍👍💯💯❤❤🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿👑👑🌍🌍🏆🏆🥳🥳🔴🔴🇬🇧🇬🇧🇬🇧🏆🏆🏆🏆🏆🏆🏆,Victor Jadiel Sardinas Villarrubia,UgxwDBOv8TDW-Air4QF4AaABAg,0,0
185,adrian on fire,Bani Saputra,Ugy7E_AxTt_uJ_tUhnV4AaABAg,0,0
186,Cuánto pagó el city por el haland 🤣🤣🤣🤣🤣 que se lo quede si si,Fernando,UgyN-EdhZ_vmi4D-YOd4AaABAg,0,0
187,Remembering Fernando Torres miss for Chelsea..,Spice Shelf,Ugx0WO5osop5PTx5_O14AaABAg,0,0
188,It's only pre season liverpool can get happy now but everybody knows that they lost 4-0 to man u that's  even more  embarrassing then losing 3-1 but in epl city will do what they have been doing to win the pl and liverpool will remain second or third,Hassnain Qazi,UgwiU0jFAFSXaPq7Q-B4AaABAg,0,1
189,Nunez really changed the game yesterday looks some player look forward to seeing what he does this season,Gerrard Holloway,UgwWtH3DrAS7PbqvlYF4AaABAg,74,0
190,BOOOOO,OmarJ Hernandez,UgzYxyaku5iK4P7tCnN4AaABAg,0,0
191,time to break arsenals invincibles’ record,G#057 53R4PH,UgwsFO5sbKnTYTZ-7YR4AaABAg,0,4
192,It's kinda ironic to see Halland missing those clear chances being one of the killer finisher when it was main the reason why Man City signed him as they lacked an attacker who could finish. But hey It's just a preseason hope to see more of his talents this season.,ISCO,UgxWxgSuHmkOcRQc2eh4AaABAg,1,1
193,But failed in champions league 🤣🤣🤣🤣🤣🤣🤣,SAMUEL K NAIR,Ugx7hZZk68B2Ypd4Q1R4AaABAg,0,0
194,Anyone else underestimate Darwin???? See what u see now,Sidik Udo,UgzPU_WWEbhCabW_HgV4AaABAg,0,0
195,nunez didnt need to celebrate like he scores the cl final🤣,Khumo Motlhaping,Ugz4TeI6pL61GcYuJgl4AaABAg,0,2
196,Dos sudamericanos anotando en una final que leenddoo 😇 este mundial ojalá demos la sorpresa ya es hora,Marcos Dominguez,UgyPTCYbgcoFTsTYsQ14AaABAg,5,0
197,Urraaaa,Sunzietno Yetno,Ugz6ZQKDBEO0FzdKJUR4AaABAg,0,0
198,Why king power?,DOGGOMORPH,UgzHUCdWIAYPV0YJdbV4AaABAg,0,1
